,Overall Score,Fraction of the Selected Dataset,Original Size of Dataset,Efficiency
AlpaGasus,1.284,0.173,52002,1.284
DEITA,1.426,0.1,100000,1.426
IFD,1.747,0.05,52002,1.697
InsTag,1.344,0.02,306044,1.291
InstructionGPT-4,1.443,0.058,3439,1.385
Instruction-Mining,1.4,0.025,100000,1.375
LESS,1.491,0.05,270679,1.4
Nuggets,1.519,0.145,52002,1.374
Superfiltering,1.475,0.05,52002,1.425
Mods,3.337,0.0192,52002,3.337
SHED,1.46,0.09,52002,1.468
CaR,1.343,0.0196,52002,1.343
SelectIT,1.653,0.2,52002,1.653
